birthCountry,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
Latvia,287,23,53,11,45,5,65,424,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
Lebanon,1372,777,455,97,69,13,0,2783,
Lesotho,9,0,5,dw,dw,0,0,20,
Liberia,1238,397,34,761,896,8,11,3334,
Libya,173,21,45,91,46,0,0,376,
Lithuania,553,58,88,14,138,3,11,854,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
Luxembourg,21,dw,11,dw,5,0,0,40,
Macau,dw,49,24,0,dw,0,0,106,
Macedonia,560,113,57,32,128,5,0,895,
Madagascar,49,dw,21,dw,18,0,0,95,
Malawi,103,8,32,7,7,2,0,159,
Malaysia,609,186,771,874,30,7,0,2477,
Mali,369,39,25,182,17,35,0,667,
Malta,22,7,dw,7,dw,0,0,43,
Marshall Islands,dw,0,dw,0,0,0,18,46,
Mauritania,73,26,3,247,5,0,0,354,
Mauritius,40,6,29,dw,dw,1,0,83,
Mexico,85476,35528,8066,597,7,5354,20,135028,
Moldova,733,80,77,579,883,133,0,2485,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
Mongolia,278,18,149,177,98,9,0,729,
Montenegro,206,32,4,20,dw,dw,0,265,"Does not include data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. See Serbia for inclusion of this data."
Morocco,2241,325,135,19,606,10,21,3336,
Mozambique,34,3,11,22,3,0,0,73,
Namibia,37,0,11,4,3,2,0,57,
Nepal,1822,492,1362,6137,3210,23,0,13046,
Netherlands,514,33,560,4,27,4,0,1142,
New Zealand,484,40,287,dw,104,dw,0,921,
Nicaragua,1874,868,73,127,18,88,35,3048,
Niger,24,8,0,0,5,0,0,37,
Nigeria,7957,2059,900,115,2778,31,144,13840,
Norway,192,10,117,dw,dw,0,0,335,
Oman,25,9,32,4,3,0,0,73,
Pakistan,5956,3966,2553,696,14,66,47,13251,
Palau,12,dw,dw,0,0,0,0,16,
Panama,845,251,96,23,9,10,0,1234,
Papua New Guinea,15,dw,5,0,dw,0,0,27,
Paraguay,292,66,59,26,3,2,0,448,
Peru,7420,3770,918,328,4,124,18,12564,
Philippines,28653,15170,10482,33,dw,dw,166,54446,
Poland,3403,1215,1111,15,645,41,49,6430,
Portugal,627,80,188,7,14,2,0,918,
Qatar,66,43,43,12,25,2,0,191,
Romania,2112,292,891,55,401,22,0,3773,
Russia,5991,483,1661,1324,1460,98,248,11017,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.2% of global US immigration in this year. The included former Soviet Union data accounts for approximately 11.5% of the shown Russian data."
Rwanda,79,16,9,335,97,4,0,540,
Saint Kitts and Nevis,126,115,8,0,5,5,0,259,
Saint Lucia,572,238,27,3,9,4,0,853,
Saint Vincent and the Grenadines,328,168,23,0,7,3,18,529,
Samoa,225,12,0,0,0,0,0,237,
Saudi Arabia,695,224,270,117,148,9,0,1463,
Senegal,897,153,72,95,75,48,0,1340,
Serbia,887,107,185,170,152,18,0,1519,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 43% of the displayed Serbian data."
Sierra Leone,836,198,30,204,377,6,24,1651,
Singapore,241,59,501,15,16,3,0,835,
Slovakia,309,28,132,3,31,4,0,507,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. See Czechia for inclusion of this data."
Slovenia,46,0,10,dw,dw,0,0,62,
Somalia,851,115,11,2766,19,2,0,3764,
South Africa,1164,84,1042,64,267,8,17,2629,
South Sudan,43,0,0,16,0,0,0,59,
Spain,1120,74,985,182,115,4,0,2480,
Sri Lanka,555,164,586,327,210,5,0,1847,
Sudan,612,80,46,956,250,1,0,1945,
Suriname,110,39,18,dw,5,dw,0,178,
Swaziland,7,dw,dw,dw,0,0,0,15,
Sweden,543,34,443,7,70,9,0,1106,
Switzerland,314,13,313,9,40,8,0,697,
Syria,1673,1047,285,277,70,14,0,3366,
Taiwan,2007,837,2353,4,170,14,86,5385,
Tajikistan,189,40,50,66,205,0,0,550,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
Tanzania,435,49,108,194,50,1,0,837,
Thailand,3491,371,451,3076,33,161,34,7583,
Togo,638,101,10,230,273,5,0,1257,
Tonga,225,112,0,0,9,2,0,348,
Trinidad and Tobago,2994,1288,366,13,31,32,0,4724,
Tunisia,330,8,66,9,31,1,0,445,
Turkey,1785,198,1292,116,730,23,0,4144,
Turkmenistan,78,8,14,52,58,0,0,210,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
Turks and Caicos Islands,36,9,dw,dw,0,0,0,50,
Uganda,700,110,83,281,166,10,260,1350,
Ukraine,3960,578,790,738,1847,280,320,8193,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
United Arab Emirates,268,172,315,61,82,12,0,910,
United Kingdom,6303,518,5948,24,144,47,0,12984,
United States,221,16,35,25,dw,dw,0,319,
Uruguay,956,86,163,130,dw,dw,0,1352,
Uzbekistan,743,220,111,337,2944,27,0,4382,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
Venezuela,3607,744,3000,1647,537,37,0,9572,
Vietnam,12528,13847,458,214,4,50,0,27101,
Yemen,2575,631,37,172,108,9,0,3532,
Zambia,309,27,100,40,28,1,0,505,
Zimbabwe,372,38,206,257,44,7,0,924,
