birthCountry,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
Eritrea,358,41,dw,281,85,dw,11,796,
Estonia,258,dw,52,91,20,dw,12,438,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Ethiopia,2771,378,182,3802,3427,13,430,10573,
Fiji,677,366,56,50,254,19,0,1422,
Finland,220,3,324,dw,24,dw,0,574,
France,1880,101,2191,30,183,14,0,4399,
French Polynesia,dw,0,dw,0,0,0,0,19,
Gabon,46,dw,9,dw,5,0,0,66,
Gambia,356,13,44,104,19,45,0,581,
Georgia,624,14,132,344,255,20,14,1389,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Germany,4473,167,3516,464,602,42,0,9264,
Ghana,4100,534,487,289,1049,32,16,6491,
Greece,537,61,374,19,74,5,0,1070,
Grenada,576,199,58,0,dw,dw,0,840,
Guadeloupe,27,12,dw,dw,dw,0,0,48,
Guatemala,7518,1949,1071,dw,dw,5586,3748,16825,
Guinea,280,9,41,134,17,14,0,495,
Guinea-Bissau,18,0,dw,5,dw,0,0,26,
Guyana,3655,5360,279,4,5,15,26,9318,
Haiti,6032,4363,192,1118,4,2820,226,14529,
Honduras,4174,1889,589,158,7,195,0,7012,
Hong Kong,903,1802,898,31,58,13,30,3705,
Hungary,930,26,473,17,115,6,0,1567,
Iceland,84,7,39,dw,dw,0,0,135,
India,19108,15256,47705,2331,60,221,324,84681,
Indonesia,1452,179,974,1158,121,40,0,3924,
Iran,3922,1986,1024,6480,407,68,14,13887,
Iraq,828,899,158,2169,18,5,0,4077,
Ireland,1234,18,732,4,95,5,0,2088,
Israel,2805,262,2437,31,192,28,0,5755,
Italy,1540,96,1317,24,79,10,0,3066,
Jamaica,12049,5032,1214,dw,dw,45,68,18346,
Japan,4885,135,3451,11,271,15,28,8768,
Jordan,2172,1020,436,65,32,23,0,3748,
Kazakhstan,1225,10,105,634,168,87,755,2229,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Kenya,1963,147,967,718,1536,17,32,5348,
South Korea,8598,1997,15929,7,8,23,1604,26562,Includes data for North Korea (combined with South Korea in datasets prior to 2009).
Kuwait,433,278,319,103,16,3,0,1152,
Kyrgyzstan,228,4,44,240,102,38,0,656,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Laos,735,103,64,317,dw,dw,0,1242,
Latvia,413,16,91,156,73,20,28,769,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Lebanon,2046,1095,880,193,45,23,0,4282,
Lesotho,8,dw,dw,0,0,0,0,12,
Liberia,712,178,55,3548,373,14,166,4880,
Libya,114,29,40,33,7,0,0,223,
Lithuania,1176,42,272,26,888,13,25,2417,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Luxembourg,18,0,dw,0,dw,0,0,35,
Macau,37,73,18,0,dw,dw,0,133,
Macedonia,544,109,92,113,201,11,0,1070,
Madagascar,30,0,18,dw,6,dw,0,60,
Malawi,61,4,58,5,3,0,0,131,
Malaysia,917,217,1407,36,41,14,0,2632,
Mali,175,5,49,24,8,16,0,277,
Malta,40,dw,30,dw,0,0,0,74,
Marshall Islands,dw,0,dw,0,0,0,0,32,
Martinique,21,4,9,0,dw,dw,0,37,
Mauritania,57,0,10,203,dw,dw,0,275,
Mauritius,32,7,53,dw,dw,0,0,99,
Mexico,72435,65369,16347,240,11,7043,94,161445,
Moldova,437,6,103,2351,277,333,58,3507,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Mongolia,193,0,77,0,53,0,14,323,
Montserrat,30,17,dw,0,dw,0,0,50,
Morocco,1922,137,373,4,1958,17,0,4411,
Mozambique,31,4,15,dw,dw,0,0,54,
Namibia,24,0,31,dw,dw,0,0,63,
Nepal,518,58,961,72,1545,4,61,3158,
Netherlands,789,21,928,17,57,3,0,1815,
New Zealand,684,35,471,dw,100,dw,0,1293,
Nicaragua,1530,469,101,208,4,993,22,3305,
Niger,105,dw,7,7,dw,0,0,126,
Nigeria,5383,900,1383,502,2379,51,62,10598,
Norway,259,dw,149,0,7,dw,0,423,
Oman,15,11,67,4,4,0,0,101,
Pakistan,5789,3203,4798,967,12,157,27,14926,
Panama,1305,278,183,26,11,12,18,1815,
Papua New Guinea,dw,0,23,0,dw,0,0,44,
Paraguay,310,34,152,5,12,3,0,516,
Peru,8911,2264,2301,900,1128,172,23,15676,
Philippines,27157,14975,18332,85,6,193,259,60748,
Poland,5768,2953,3241,60,3259,71,73,15352,
Portugal,548,149,407,3,7,11,0,1125,
Qatar,47,28,84,9,dw,dw,0,174,
Romania,3322,295,1714,163,1585,24,0,7103,
Russia,10625,198,2857,5847,633,822,4652,20982,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.3% of global US immigration in this year. The included former Soviet Union data accounts for approximately 14% of the shown Russian data."
Rwanda,16,dw,9,242,dw,dw,0,276,
Saint Kitts and Nevis,172,148,22,0,0,0,0,342,
Saint Lucia,580,187,dw,0,dw,0,0,832,
Saint Vincent and the Grenadines,411,171,40,0,0,3,0,625,
Samoa,151,17,dw,0,dw,0,11,173,
Saudi Arabia,354,212,487,97,51,9,0,1210,
Senegal,637,48,99,79,42,8,0,913,
Serbia,1400,120,353,3078,208,43,0,5202,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.5% of global US immigration in this year. The included former country's data accounts for approximately 100% of the displayed Serbian data."
Seychelles,13,0,dw,dw,0,0,0,16,
Sierra Leone,623,95,97,1793,116,7,24,2731,
Singapore,365,78,719,3,30,9,0,1204,
Slovakia,391,43,293,dw,228,dw,0,965,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Czechia for inclusion of this data.
"
Slovenia,68,dw,16,24,dw,0,0,114,
Somalia,260,dw,29,5478,46,dw,0,5829,
South Africa,1291,78,3017,18,128,4,0,4536,
Spain,1002,30,744,47,56,9,0,1888,
Sri Lanka,480,156,844,137,270,7,0,1894,
Sudan,269,28,59,4619,248,8,0,5231,
Suriname,137,65,76,16,0,6,0,300,
Swaziland,6,0,6,dw,dw,0,0,16,
Sweden,771,31,645,12,51,7,0,1517,
Switzerland,418,24,536,27,80,7,0,1092,
Syria,1420,690,493,196,19,13,0,2831,
Taiwan,3101,2749,3001,6,326,13,133,9196,
Tajikistan,70,5,6,85,33,8,0,207,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Tanzania,444,67,204,41,67,6,0,829,
Thailand,3370,337,1084,414,60,240,71,5505,
Togo,228,19,35,253,985,3,0,1523,
Tonga,205,67,8,0,26,3,0,309,
Trinidad and Tobago,4119,1413,955,dw,dw,53,0,6568,
Tunisia,356,6,100,dw,27,dw,0,495,
Turkey,1869,167,1439,89,1043,7,0,4614,
Turkmenistan,49,dw,14,42,38,dw,0,148,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Turks and Caicos Islands,20,9,dw,0,0,dw,0,34,
Uganda,398,60,155,159,81,5,15,858,
Ukraine,4346,198,1235,12421,2745,1816,841,22761,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
United Arab Emirates,184,162,427,dw,22,dw,0,812,
United Kingdom,8237,594,10753,33,113,70,0,19800,
United States,121,22,15,7,3,15,0,183,
Uruguay,697,54,335,46,10,12,0,1154,
Uzbekistan,769,37,133,866,955,127,0,2887,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
Venezuela,4573,454,4929,520,133,36,0,10645,
Vietnam,11379,12220,304,5818,5,3058,0,32784,
Yemen,2384,799,28,129,22,4,0,3366,
Zambia,262,18,176,18,25,0,0,499,
Zimbabwe,383,19,462,dw,46,dw,0,923,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
